STT;SACH;BAI;CHUDE;MUCDO;CAUHOI;CAUTRALOI;DAPAN;MA_YCCD;NOIDUNG_YCCD
1331;Kết nối tri thức;Một số kiểu dữ liệu và dữ liệu văn bản;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Dữ liệu có trong học bạ có các kiểu số nguyên là; ngày, tháng, năm sinh.~ họ và tên, địa chỉ, tên trường.~ điểm trung bình môn.~ ảnh học sinh;A. ngày, tháng, năm sinh.;A1;Phân biệt được thông tin và dữ liệu, nêu được ví dụ minh hoạ
1332;Kết nối tri thức;Một số kiểu dữ liệu và dữ liệu văn bản;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Dữ liệu có trong học bạ có các kiểu hình ảnh là; họ và tên, địa chỉ, tên trường.~ ảnh học sinh, dấu của trường, chữ kí của giáo viên.~ ngày, tháng, năm sinh.~ điểm trung bình môn.;B. ảnh học sinh, dấu của trường, chữ kí của giáo viên.;A1;Phân biệt được thông tin và dữ liệu, nêu được ví dụ minh hoạ
1333;Kết nối tri thức;Một số kiểu dữ liệu và dữ liệu văn bản;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;"Ngày nay mã QR (QR code) được sử dụng rất rộng rãi. Đây là mã hoá của xâu kí tự, có thẻ giải mã được bằng các ứng dụng đọc QR code, tải từ ""chợ ứng dụng"" xuống điện thoại thông minh. Ví dụ Hình 3.1 là mã QR của chuỗi kí tự hffp://en.m.wikipedia.org. Kiểu dữ liệu của QR code thuộc loại gì? Hình ảnh hay xâu kí tự?"; xâu kí tự~ nó được xử lí ban đầu với vai trò là hình ảnh, từ đó mới ra xâu kí tự.~ loại hình ảnh~ Đáp án khác;B. nó được xử lí ban đầu với vai trò là hình ảnh, từ đó mới ra xâu kí tự.;A1;Phân biệt được thông tin và dữ liệu, nêu được ví dụ minh hoạ
1334;Kết nối tri thức;Một số kiểu dữ liệu và dữ liệu văn bản;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Em hãy tìm mã nhị phân và mã thập phân (số thứ tự của kí tự trong bảng mã ASCII) của kí tự C trong từ Computer.; 01101111~ 01101101~ 01110000~ 01000011;D. 01000011;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1335;Kết nối tri thức;Một số kiểu dữ liệu và dữ liệu văn bản;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Em hãy tìm mã nhị phân và mã thập phân (số thứ tự của kí tự trong bảng mã ASCII) của kí tự t trong từ Computer; 01110101~ 01110010.~ 01110100~ 01100101;C. 01110100;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1336;Kết nối tri thức;Một số kiểu dữ liệu và dữ liệu văn bản;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Unicode mã hoá mỗi kí tự bởi; Từ 1 đến 4 byte.~ 1byte~ 2byte~ 4byte;A. Từ 1 đến 4 byte.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1337;Kết nối tri thức;Một số kiểu dữ liệu và dữ liệu văn bản;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Với 134 kí tự riêng phát sinh so với bảng chữ cái tiếng Anh, hoàn toàn có khả năng sắp xếp trong bảng chữ 8 bit với 256 kí tự. Theo em, tại sao Việt Nam vẫn cần sử dụng bảng mã Unicode?; Phải lấy thêm chỗ ở vùng mã điều khiển~ Thống nhất kí tự Việt trong tổng thể các kí tự chung của toàn thế giới~ nhu cầu sử dụng nhiều ngôn ngữ trong cùng một ứng dụng~ Tất cả các đáp án trên;D. Tất cả các đáp án trên;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1338;Kết nối tri thức;Một số kiểu dữ liệu và dữ liệu văn bản;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Unicode đủ mã cho bộ chữ toàn cầu. Tại sao người ta lại dùng UTF?; Các ứng dụng xử lí văn bản như thư điện tử, soạn thảo, cơ sở dữ liệu dùng với ASCII và một số bảng mã khác đã tổn tại từ trước đó để lại một khối lượng dữ liệu khổng lồ~ Việc sửa các phần mềm chỉ sử dụng Unicode có nghĩa là sẽ mất rất nhiều dữ liệu~ Khi dùng Unicode thì khối lượng lưu trữ cho dữ liệu văn bản sẽ tăng hơn hai lần.~ Tất cả các đáp án trên~ ĐÁP ÁN;B. Việc sửa các phần mềm chỉ sử dụng Unicode có nghĩa là sẽ mất rất nhiều dữ liệu;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1339;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Dãy bit nào dưới đây là biểu diễn nhị phân của số “ 3 ” trong hệ thập phân?; 11~ 101~ 001~ 01;A. 11;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1340;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Số biểu diễn trong hệ nhị phân 100112 có giá trị thập phân là:; 17~ 18~ 19~ 20;C. 19;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1341;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Phương pháp nào để biểu diễn số trong máy tính?; Dấu phẩy tĩnh và Dấu phẩy động.~ Dấu phẩy động.~ Dấu phẩy tĩnh.~ Không có.;A. Dấu phẩy tĩnh và Dấu phẩy động.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1342;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Hệ nhị phân dùng những chữ số nào?; 1 và 2.~ 0 và 1.~ 2 và 3.~ 0 và -1.;B. 0 và 1.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1343;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Phép cộng trong hệ nhị phân được thực hiện như thế nào?; Khác với hệ thập phân.~ Tương tự như hệ thập phân.~ Ngược với hệ thập phân.~ Từ trái sang phải.;B. Tương tự như hệ thập phân.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1344;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Kết quả của phép cộng 100002 + 1002 là?; 110002.~ 100102.~ 100002.~ 101002.;D. 101002.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1345;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Các tính toán số học trên máy tính dùng hệ số nào?; Hệ thập phân.~ Hệ thập lục phân.~ Hệ nhị phân.~ Cả 3 đáp án trên.;C. Hệ nhị phân.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1346;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Kết quả của phép nhân 11012 x 1012 là?; 10000012.~ 1000002.~ 1010102.~ 10101012.;A. 10000012.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1347;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Số nào trong hệ thập phân biểu diễn được bằng 2 số khác nhau ở hệ nhị phân?; Số 0.~ Số 1.~ Số âm.~ Không có số nào.;D. Không có số nào.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1348;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Muốn phân biệt các số ở hệ cơ số khác nhau người ta làm như thế nào?; Viết thêm chỉ số trên.~ Viết thêm chỉ số dưới.~ Mở ngoặc ở bên cạnh.~ Chú thích sau khi viết.;B. Viết thêm chỉ số dưới.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1349;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Trong hệ thập phân, mỗi số đều có thể biểu diễn dưới dạng tổng các lũy thừa của số mấy?; Số 10.~ Số 1.~ Số 16~ Số 2;A. Số 10.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1350;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Số 62010 khi biểu diễn sang hệ nhị phân cần số byte là?; 2~ 4~ 6~ 8;A. 2;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1351;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Quy trình thực hiện phép tính trên máy tính đối với số thập phân cần qua mấy bước?; 2~ 4~ 3~ 5;C. 3;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1352;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Phân tích số 1910 sang hệ thập phân như thế nào?; 19×101.~ 9×101+ 1×100.~ 1×21+ 9×20.~ 1×101+ 9×100.;D. 1×101+ 9×100.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1353;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Số 1310 phân tích sang hệ nhị phân thành các lũy thừa của 2 như thế nào?; 0×23+ 0×22+ 1×21+ 1×20.~ 1×23+ 1×22+ 0×21+ 1×20.~ 1×23+ 1×22+ 1×21+ 1×20.~ 1×23+ 0×22+ 1×21+ 1×20.;B. 1×23+ 1×22+ 0×21+ 1×20.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1354;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Ta có thể biểu diễn các chữ Tiếng Việt để máy tính xử lý được không?; Được. Các chữ tiếng Việt là các ký hiệu và sử dụng các chữ số nhị phân chúng ta có thể biểu diễn mọi ký hiệu~ Không. Chúng ta chỉ có thể biểu diễn được các chữ cái không có bất kỳ dấu đặc biệt nào khác~ Không. Chúng ta chỉ có thể biểu diễn được các chữ cái tiếng Anh~ Được, nhưng cần phải có máy tính với bộ xử lý riêng;A. Được. Các chữ tiếng Việt là các ký hiệu và sử dụng các chữ số nhị phân chúng ta có thể biểu diễn mọi ký hiệu;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1355;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Như em đã biết một bít nhận một trong hai giá trị tương ứng với hai kí hiệu 0 và 1. Như vậy, dùng một bít ta có thể biểu diễn trạng thái của một bóng đèn: đèn tắt là 0, đèn sáng là 1. Nếu có 4 bóng đèn để cạnh nhau hai bóng đèn đầu sáng, hai bóng đèn sau tắt thì dãy nhị phân được biểu diễn trong máy tính là:; 0011~ 1010~ 1100~ 0101;C. 1100;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1356;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Đâu là phép đổi đúng khi đổi số 1510 sang hệ nhị phân?; 11112~ 1112~ 101102~ 11111112;A. 11112;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1357;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Đổi từ hệ nhị phân sang hệ thập phân cho số 1111112?; 6130~ 6310~ 6103~ 6301;B. 6310;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1358;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Đổi số 97 hệ số thập phân sang hệ nhị phân?; 100000~ 100001~ 101001~ 100101;B. 100001;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1359;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;120 bit bằng bao nhiêu byte?; 12 byte~ 10 byte~ 8 byte~ 15 byte;D. 15 byte;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1360;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Hệ nhị phân dùng những chữ số nào?; 0 và -1.~ 2 và 3.~ 0 và 1.~ 1 và 2.;C. 0 và 1.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1361;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Kết quả nào sau đây là phép đổi đúng khi đổi từ hệ nhị phân sang hệ thập phân cho số 101101012?; 18110~ 10811~ 18011~ 18101;A. 18110;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1362;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Số 123.75 đang ở hệ thập phân khi đổi sang hệ nhị phân sẽ cho kết quả như thế nào?; 1101010.112~ 1101011.012~ 1001011.112~ 1111011.112;D. 1111011.112;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1363;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Số nguyên có dấu có bao nhiêu cách mã hóa ?; 1~ 3~ 4~ 2;B. 3;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1364;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Em hãy đổi số 13 từ hệ thập phân sang hệ nhị phân; 1101~ 10011011~ 1001100~ đáp án khác;A. 1101;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1365;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Em hãy đổi số 155 từ hệ thập phân sang hệ nhị phân; 10011011~ 1101~ 1001100~ Đáp án khác;A. 10011011;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1366;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Em hãy đổi số 76 từ hệ thập phân sang hệ nhị phân; 1101~ 10011011~ 1001100~ Đáp án khác;C. 1001100;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1367;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Em hãy đổi số 110011 từ hệ nhị phân sang hệ thập phân; 63~ 78~ 155~ 51;D. 51;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1368;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Em hãy đổi số 10011011 từ hệ nhị phân sang hệ thập phân; 51~ 155~ 78~ 63;B. 155;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1369;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Em hãy đổi số 1001110 từ hệ nhị phân sang hệ thập phân; 78~ 51~ 155~ Đáp án khác;A. 78;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1370;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Em hãy thực hiện phép tính sau trong hệ nhị phân: 101101 + 11001; 1110110~ 1010110~ 1000110~ 1100110;C. 1000110;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1371;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Em hãy thực hiện phép tính sau trong hệ nhị phân: 100111 x 1011; 110010~ 101010~ 110100~ 110001;A. 110010;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1372;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Em hãy thực hiện phép tính sau rồi đổi kết quả ra hệ nhị phân: 125 + 17; 101000101~ 10001110~ 10111011~ Đáp án khác;B. 10001110;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1373;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Em hãy thực hiện phép tính sau rồi đổi kết quả ra hệ nhị phân: 125 x 4; 1011010~ 111110100~ 1100011~ Đáp án khác;B. 111110100;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1374;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Trong các lí do máy tính dùng hệ nhị phân, lí do nào kém xác đáng nhất?; Hệ nhị phân phù hợp với việc lưu trữ dữ liệu trong máy tính bằng dãy bit.~ Việc thực hiện các phép tính số học trong hệ nhị phân khá đơn giản, dễ thực hiện hơn trên máy tính.~ Các trạng thái nhị phân cũng phù hợp với việc thể hiện đầu vào/đầu ra theo kiểu đóng mở của các mạch điện từ, được dùng làm cơ sở thiết kế các mạch điện xử li các dữ liệu nhị phân.~ Hệ nhị phân là hệ đếm có cơ số nhỏ nhất.;D. Hệ nhị phân là hệ đếm có cơ số nhỏ nhất.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1375;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Em hãy đổi biểu diễn số sau từ hệ thập phân sang hệ nhị phân: 321; 101011001(2)~ 100100001(2)~ 101000001(2)~ 101111001(2);C. 101000001(2);A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1376;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Đổi biểu diễn số sau từ hệ nhị phân sang hệ thập phân: 110111.; 55~ 19~ 109~ 162;A. 55;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1377;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Thực hiện phép tính cộng sau đây trong hệ nhị phân: 101110 + 110001; 1111111~ 1101111~ 1010011~ 1011111;D. 1011111;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1378;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Thực hiện phép tính nhân sau đây trong hệ nhị phân: 11001 x 10110.; 1011100110~ 1000100110~ 1001100110~ 1010100110~ ĐÁP ÁN;B. 1000100110;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1379;Kết nối tri thức;Dữ liệu lôgic;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Mệnh đề có tính chất nào sau đây?; Đúng hoặc sai.~ Chỉ sai.~ Chỉ đúng.~ Đúng và sai.;A. Đúng hoặc sai.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
1380;Kết nối tri thức;Dữ liệu lôgic;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Mệnh đề dưới đây, mệnh đề nào đúng?; 9 là số nguyên tố.~ 5 là hợp số.~ 0 không là số nguyên tố, cũng không là hợp số.~ 3,2 là số vô tỉ.;C. 0 không là số nguyên tố, cũng không là hợp số.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
