STT;SACH;BAI;CHUDE;MUCDO;CAUHOI;CAUTRALOI;DAPAN;MA_YCCD;NOIDUNG_YCCD
399;Kết nối tri thức;Hoàn thiện hình ảnh đồ họa;E;Nhận biết;Bóng hội thoại dưới đây được tạo ra từ bao nhiêu bước?   ;3.~4.~5.~6.;3.;E1~E2;Sử dụng được một số chức năng cơ bản của phần mềm thiết kế đồ hoạ.~Tạo được sản phẩm số đơn giản, hữu ích và thực tế như thiết kế logo, tạo banner, topic quảng cáo, băng-rôn, áp phích, poster vàthiệp chúc mừng,…~~~~~
400;Kết nối tri thức;Hoàn thiện hình ảnh đồ họa;E;Nhận biết;Một cách mặc định, Inkscape hỗ trợ xuất tệp ảnh với đuôi mở rộng dạng nào? ;png.~png, jpg.~bmp.~jpg, bmp, png.;png.;E1~E2;Sử dụng được một số chức năng cơ bản của phần mềm thiết kế đồ hoạ.~Tạo được sản phẩm số đơn giản, hữu ích và thực tế như thiết kế logo, tạo banner, topic quảng cáo, băng-rôn, áp phích, poster vàthiệp chúc mừng,…~~~~~
401;Kết nối tri thức;Hoàn thiện hình ảnh đồ họa;E;Nhận biết;Để cắt ảnh ta dùng công cụ nào? ;Crop.~Transform.~Move.~Scale.;Crop.;E1~E2;Sử dụng được một số chức năng cơ bản của phần mềm thiết kế đồ hoạ.~Tạo được sản phẩm số đơn giản, hữu ích và thực tế như thiết kế logo, tạo banner, topic quảng cáo, băng-rôn, áp phích, poster vàthiệp chúc mừng,…~~~~~
402;Kết nối tri thức;Hoàn thiện hình ảnh đồ họa;E;Nhận biết;Để thiết kế thiệp mời đơn giản (sinh nhật, tiệc Noel,…) bước thứ nhất là gì?  ;Vẽ hai chùm bóng bay.~Vẽ các hình tròn nhỏ, tô màu và trang trí thêm.~Lần lượt nhập từng đoạn văn bản – mỗi nội dung là một đối tượng khác nhau.~Vẽ một hình chữ nhật màu.;Vẽ một hình chữ nhật màu.;E1~E2;Sử dụng được một số chức năng cơ bản của phần mềm thiết kế đồ hoạ.~Tạo được sản phẩm số đơn giản, hữu ích và thực tế như thiết kế logo, tạo banner, topic quảng cáo, băng-rôn, áp phích, poster vàthiệp chúc mừng,…~~~~~
403;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;Phần mở rộng nào sau đây là đúng của tệp Python? ;py.~docx.~exp.~c++.;py.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
404;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;"Giá trị của biểu thức Python sau sẽ là bao nhiêu?
>>> 6 – 6 / 2 + 4 * 5 – 6 / /2 ";17.~20.~18.~19.;20.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
405;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;Thế nào là chương trình dịch? ;Chương trình có chức năng chuyển đổi chương trình được viết bằng ngôn ngữ lập trình bậc cao thành chương trình thực hiện được trên máy tính cụ thể.~Chương trình có chức năng chuyển đổi chương trình được viết bằng ngôn ngữ lập trình bậc thấp thành ngôn ngữ bậc cao.~Chương trình có chức năng chuyển đổi chương trình được viết bằng ngôn ngữ ngôn ngữ máy sang ngôn ngữ lập trình cụ thể.~Chương trình có chức năng chuyển đổi chương trình được viết bằng ngôn ngữ máy sang hợp ngữ.;Chương trình có chức năng chuyển đổi chương trình được viết bằng ngôn ngữ lập trình bậc cao thành chương trình thực hiện được trên máy tính cụ thể.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
406;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Thông hiểu;Tên nào dưới đây trong ngôn ngữ Python là đặt sai theo quy cách? ;Bai#1.~Bai1.~_Bai 1.~Bai1_.;Bai#1.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
407;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;Ai đã phát triển Ngôn ngữ lập trình Python? ;Wick van Rossum.~Rasmus Lerdorf.~Guido van Rossum.~Niene Stom.;Guido van Rossum.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
408;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Thông hiểu;Người tạo ra phiên bản đầu tiên của ngôn ngữ lập trình Python là người nước nào? ;Hà Lan.~Đứ~Pháp.~Bỉ.;Hà Lan.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
409;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Thông hiểu;"Câu lệnh sau bị lỗi ở đâu? 
>>> 3 + * 5 ";3 .~+ hoặc *.~*.~Không có lỗi.;+ hoặc *.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
410;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Thông hiểu;Dùng câu lệnh print và kí tự nào để viết được đoạn văn xuống dòng giữa xâu? ;Cặp dấu nháy đơn.~Cặp ba dấu nháy kép.~Cặp dấu nháy kép.~Không thể thực hiện đượ;Cặp ba dấu nháy kép.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
411;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;Ngôn ngữ nào sau đây không phải ngôn ngữ lập trình bậc cao? ;C/C++.~Assembly.~Python.~Jav;Assembly.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
412;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;Thứ tự thực hiện các phép tính trong Python ở đáp án nào đúng? ;/, -, +, *.~(*, /), (+, -).~Từ trái sang phải.~(+, -), (*, /).;(*, /), (+, -).;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
413;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Vận dụng;Để kết thúc một phiên làm việc trong python, ta có thể? ;Nháy dấu X góc bên phải màn hình.~Gõ câu lệnh quit() rồi ấn Enter~Sử dụng câu lệnh Exit.~Cả ba cách làm trên đều đúng.;Cả ba cách làm trên đều đúng.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
414;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;Phát biểu nào sau đây là đúng về chương trình? ;Chương trình viết bằng ngôn ngữ lập trình bậc cao nói chung không phụ thuộc vào loại máy.~Chương trình viết bằng ngôn ngữ lập trình bậc cao nói chung phụ thuộc vào loại máy.~Chương trình viết bằng ngôn ngữ lập trình bậc cao nói chung phụ thuộc vào rất nhiều yếu tố.~Chương trình viết bằng ngôn ngữ lập trình bậc thấp nói chung không phụ thuộc vào loại máy.;Chương trình viết bằng ngôn ngữ lập trình bậc cao nói chung không phụ thuộc vào loại máy.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
415;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;"Giá trị của biểu thức Python sau sẽ là bao nhiêu? 
>>> 4 + 15 / 5 ";7.~2.~4.~1.;7.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
416;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;Chương trình Python là một tệp văn bản có đuôi mặc định là gì? ;.pas.~.py.~.exe.~.do;.py.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
417;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;"Output của lệnh sau là:
>>> print(1+ 2 + 3+ 4) ";10.~15.~1 + 2 + 3 + 4.~1 + 2 + 3.;10.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
418;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Vận dụng;Phát biểu nào là sai về chương trình? ;Chương trình viết bằng ngôn ngữ máy có thể được nạp trực tiếp vào bộ nhớ và thực hiện ngay, còn chương trình viết bằng ngôn ngữ lập trình bậc cao phải được chuyển đổi thành chương trình trên ngôn ngữ máy mới có thể thực hiện đượ~Chương trình đặc biệt có chức năng chuyển đổi chương trình được viết bằng ngôn ngữ lập trình bậc cao thành chương trình thực hiện được trên máy tính cụ thể được gọi là chương trình dịch.~Lập trình là sử dụng cấu trúc dữ liệu và các câu lệnh của ngôn ngữ lập trình cụ thể để mô tả dữ liệu và diễn đạt các thao tác của thuật toán.~Chương trình dịch nhận đầu vào là chương trình viết bằng ngôn ngữ lập trình bậc thấp (chương trình nguồn), thực hiện chuyển đổi sang ngôn ngữ lập trình bậc cao (chương trình đích).;Chương trình dịch nhận đầu vào là chương trình viết bằng ngôn ngữ lập trình bậc thấp (chương trình nguồn), thực hiện chuyển đổi sang ngôn ngữ lập trình bậc cao (chương trình đích).;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
419;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;Ngôn ngữ Python được ra mắt lần đầuvào năm nào? ;1995.~1972.~1981.~1991.;1991.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
420;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;Tên nào trong ngôn ngữ Python là đặt đúng theo quy cách? ;Bai#1.~Bai 1.~1.Bai 1.~Bai1.;Bai1.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
421;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;Phát biểu nào sau đây sai khi nói về python? ;Python là ngôn ngữ lập trình bậc cao.~Python có mã nguồn mở thu hút được nhiều nhà khoa học cùng phát triển.~Python có các lệnh phức tạp nên không phổ biến trong giáo dụ~Python có các câu lệnh khá gần ngôn ngữ tự nhiên.;Python có các lệnh phức tạp nên không phổ biến trong giáo dụ;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
422;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Vận dụng;Điều nào sau đây được sử dụng để xác định một khối mã trong ngôn ngữ Python? ;Thụt lề.~Nháy “ ”.~Dấu ngoặc( ).~Dấu ngoặc  .;Thụt lề.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
423;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;Mỗi ngôn ngữ lập trình thường có các thành phần cơ bản nào? ;Bảng chữ cái, cú pháp.~Bảng chữ cái và ngữ nghĩ~Bảng chữ cái, cú pháp và ngữ nghĩ~Cú pháp và ngữ nghĩ;Bảng chữ cái, cú pháp và ngữ nghĩ;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
424;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Thông hiểu;Chọn phát biểu đúng khi nói về môi trường lập trình Python? ;Chế độ soạn thảo có dấu nhắt~Ngoài chế độ gõ lệnh trực tiếp và soạn thảo còn có các chế độ khác~Chế độ gõ lệnh trực tiếp thích hợp cho việc tính toán và kiểm tra nhanh các lệnh~Chế độ gõ lệnh trực tiếp có con trỏ soạn thảo.;Chế độ gõ lệnh trực tiếp thích hợp cho việc tính toán và kiểm tra nhanh các lệnh;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
425;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Thông hiểu;Ngôn ngữ nào gần với ngôn ngữ tự nhiên nhất? ;Ngôn ngữ bậc cao.~Ngôn ngữ máy.~Hợp ngữ.~Cả ba phương án đều sai.;Ngôn ngữ bậc cao.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
426;Kết nối tri thức;Ngôn ngữ lập trình bậc cao và Python;F;Nhận biết;Phát biểu nào sau đây là đúng khi nói về cấu trúc chương trình trong Python? ;Python có quy định chặt chẽ phải có phần khai báo và phần thân chương trình như Pascal hay~Python là ngôn ngữ thông dịch, chương trình dịch của Python dịch đến đâu thì thực hiện chương trình tới đó. Như vậy không có quy định chặt chẽ phải có phần khai báo và phần thân chương trình như Pascal hay.~Python có quy định chặt chẽ phải có phần khai báo.;Python là ngôn ngữ thông dịch, chương trình dịch của Python dịch đến đâu thì thực hiện chương trình tới đó. Như vậy không có quy định chặt chẽ phải có phần khai báo và phần thân chương trình như Pascal hay.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
427;Kết nối tri thức;Biến và lệnh gán;F;Thông hiểu;Trong Python câu lệnh gán có dạng như thế nào? ;< tên biến > :=< biểu thức >.~< tên biến > =< biểu thức >.~< tên biến > ==<biểu thức >.~< tên biến > =< biểu thức >.;< tên biến > =< biểu thức >.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
428;Kết nối tri thức;Biến và lệnh gán;F;Thông hiểu;"Cho đoạn chương trình sau: 
a=10 
print(a) 
Biến a thuộc dữ liệu kiểu ";int.~float.~bool.~str.;int.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
429;Kết nối tri thức;Biến và lệnh gán;F;Thông hiểu;Đâu là quy tắc đúng khi đặt tên biến cho Python? ;Tên biến có thể bắt đầu bằng dấu gạch dưới “_”~Có thể sử dụng keyword làm tên biến~Tên biến có thể bắt đầu bằng một chữ số~Tên biến có thể có các kí hiệu @, #, %, &,…;Tên biến có thể bắt đầu bằng dấu gạch dưới “_”;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
430;Kết nối tri thức;Biến và lệnh gán;F;Thông hiểu;Trường hợp nào sau đây không phải lệnh gán trong python? ;cd = 50.~a = a * 2.~a = 10.~a + b = 100.;a + b = 100.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
431;Kết nối tri thức;Biến và lệnh gán;F;Nhận biết;Biến không thuộc số kiểu thực, cách khai báo nào sau đây là sai? ;t=float.~t:float.~t=8.2.~t=6.5.;t:float.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
432;Kết nối tri thức;Biến và lệnh gán;F;Nhận biết;Từ khoá của một ngôn ngữ lâp trình là ;là những từ dành riêng.~cho một mục đích sử dụng nhất định.~có thể đặt tên cho biến.~Cả A và B;là những từ dành riêng.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
433;Kết nối tri thức;Biến và lệnh gán;F;Nhận biết;"Cho đoạn chương trình sau: 
kt=False 
print(kt) 
Biến kt thuộc dữ liệu kiểu ";int.~float.~bool.~str.;bool.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
434;Kết nối tri thức;Biến và lệnh gán;F;Thông hiểu;Để viết 3 mũ 4 trong Python chọn:;3**4.~3//4.~3*3+3*3.~3%4.;3**4.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
435;Kết nối tri thức;Biến và lệnh gán;F;Nhận biết;Biến f thuộc kiểu nguyên, cách khai báo nào sau đây là đúng? ;f=True.~f=4.5.~f=8.~f=bool.;f=8.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
436;Kết nối tri thức;Biến và lệnh gán;F;Nhận biết;Tên biến nào sau đây là đúng trong Python? ;–tich.~tong@.~1_dem.~ab_c1.;ab_c1.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
437;Kết nối tri thức;Biến và lệnh gán;F;Thông hiểu;"Chuyển biểu thức sau sang python ""2x+1x+2""  ";2*x+1/x+2.~(2*x+1)/(x+2).~(2*x+1)(x+2).~(2*x+1) :(x+2).;(2*x+1)/(x+2).;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
438;Kết nối tri thức;Biến và lệnh gán;F;Nhận biết;Trong ngôn ngữ lập trình Python, từ khoá và tên ;Có ý nghĩa như nhau.~Người lập trình phải tuân theo quy tắc đặt tên.~Có thể trùng nhau.~Cả ba đáp án trên đều đúng.;Người lập trình phải tuân theo quy tắc đặt tên.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
439;Kết nối tri thức;Biến và lệnh gán;F;Nhận biết;Trong ngôn ngữ lập trình Python, câu lệnh nào sau đây là khai báo biến? ;n = 50.~n==50.~n>50.~n!=50.;n = 50.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
440;Kết nối tri thức;Biến và lệnh gán;F;Nhận biết;"Tìm lỗi sai trong khai báo biến nguyên Max sau đây? 
Max = 2021: ";Dư dấu (=).~Tên biến trùng với từ khoá.~Dư dấu (:).~Câu lệnh đúng.;Dư dấu (:).;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
441;Kết nối tri thức;Biến và lệnh gán;F;Vận dụng;"Kết quả khi thực hiện câu lệnh sau: 
>>>10 - 5 ** 2 + 8//3 +2 ";-11.~11.~7.~Câu lệnh bị lỗi.;-11.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
442;Kết nối tri thức;Biến và lệnh gán;F;Nhận biết;Để khai báo biến x kiểu nguyên ta viết như thế nào? ;x=5.~x =0.2.~x:5.~x==5.;x=5.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
